,label,original,hypothesis,modified
9997,contradiction,a man is sitting on a rock high up in the mountains.,a man eats a sandwich while standing.,a man eats a sandwich while stomach.
9998,neutral,a man is sitting on a rock high up in the mountains.,a man relaxes after climbing some mountains.,a man raft relaxes after climbing some mountains.
9999,entailment,a man is sitting on a rock high up in the mountains.,a man sits outside on a rock.,pose a man sits outside on a rock.
10000,neutral,a man sits on a rock near mountains.,"while sitting a man contemplates the meaning of life, the universe, and everything.","while sitting a man piece contemplates the meaning of life, the universe, and everything."
10001,entailment,a man sits on a rock near mountains.,a man sits a rock and can see mountains.,a man sits sway a rock and can see mountains.
10002,contradiction,a man sits on a rock near mountains.,a man throws the rock at the mountains.,deal a man throws the rock at the mountains.
10003,entailment,a man wearing sunglasses is sitting on top of some jagged rocks with mountains in the background.,they are outside,they outside are
10004,neutral,a man wearing sunglasses is sitting on top of some jagged rocks with mountains in the background.,they are hiking,they are 
10005,contradiction,a man wearing sunglasses is sitting on top of some jagged rocks with mountains in the background.,they are sitting on a couch,they are sitting on a posing couch
10006,neutral,a male hiker sits perched on a high rock in the mountains.,a hiker reaches the summit of mt. bradly,a summit reaches the hiker of mt. bradly
10007,contradiction,a male hiker sits perched on a high rock in the mountains.,a man diving in the ocean,a diving in the ocean
10008,entailment,a male hiker sits perched on a high rock in the mountains.,a person in the mountains,a person in the plenty
10009,contradiction,"two women wearing elegant, flowing dresses are dancing.",the elegant dresses are hung in the refrigerator.,prune the elegant dresses are hung in the refrigerator.
10010,contradiction,a dancer in a green dress is twirling around and there is a dancer in a purple dress in the background.,the people are racing their bikes.,the people are racing their pedal.
10011,entailment,a dancer in a green dress is twirling around and there is a dancer in a purple dress in the background.,the people are dancing.,the people dancing.
10012,neutral,a dancer in a green dress is twirling around and there is a dancer in a purple dress in the background.,the people are doing a dance for a tv show.,the people are doing a dance for fare a tv show.
10013,contradiction,the dancers wore beautiful colors during the performance.,the dancers sat on stage in bland clothes.,the dancers on stage in bland clothes.
10014,neutral,the dancers wore beautiful colors during the performance.,the dancers performed in a show.,the dancers performed a show.
10015,entailment,the dancers wore beautiful colors during the performance.,the dancers were clothed in bright clothing.,the dancers were clothed in brilliantly clothing.
10016,entailment,"two women wearing elegant, flowing dresses are dancing.",two women in elegant clothing are dancing together.,are women in elegant clothing two dancing together.
10017,contradiction,a woman in a flowing green dress is dancing.,a woman lying down.,woman lying down.
10018,neutral,a woman in a flowing green dress is dancing.,an old woman tap dancing.,an old woman dancing.
10019,entailment,a woman in a flowing green dress is dancing.,a person engaged in movement.,a person engaged movement in.
10020,contradiction,two beautiful women dancing in their native culture.,two men dance.,two II men dance.
10021,neutral,two beautiful women dancing in their native culture.,two beautiful women dance at the celebration.,two beautiful women dance at jubilation the celebration.
10022,entailment,two beautiful women dancing in their native culture.,two women dance.,two women dancing.
10023,neutral,"two women wearing elegant, flowing dresses are dancing.",two women are kissing on the dance floor.,two women are kissing on dance the floor.
10024,neutral,a batter in a white uniform takes a huge swing at the ball.,a person is trying to hit the ball.,a person is trying to ball the hit.
10025,contradiction,a batter in a white uniform takes a huge swing at the ball.,a person is holding a football.,a person is holding a.
10026,neutral,a baseball player swinging at a ball while the other team watches from the dugout.,there is a live baseball game and the baseball player hit the ball.,there is a live baseball game and the baseball player hit.
10027,contradiction,a baseball player swinging at a ball while the other team watches from the dugout.,the baseball player is sleep on the field.,the baseball player field sleep on the is.
10028,entailment,a baseball player swinging at a ball while the other team watches from the dugout.,a baseball player is swinging to hit the ball.,a baseball player is swinging to hit ball.
10029,contradiction,a uniformed young man is swinging a bat to hit the ball in a baseball game.,a man runs like crazy across a baseball field.,a man runs like crazy across a gaga baseball field.
10030,neutral,a uniformed young man is swinging a bat to hit the ball in a baseball game.,a smartly dressed young man is swinging a bat hoping to hit a ball into the street.,a smartly clip untried man is swinging a bat hoping to pip a ball into the street.
10031,entailment,a uniformed young man is swinging a bat to hit the ball in a baseball game.,a young man is about to hit the ball during a baseball game.,a young human is about to dispatch the ball during a baseball game.
10032,neutral,"a uniformed baseball player just took a swing at the ball, as the rest of the team looks on and the catcher behind him, is ready for the play.",the player has just hit a home run,the player has just hit a home carry
10033,entailment,"a uniformed baseball player just took a swing at the ball, as the rest of the team looks on and the catcher behind him, is ready for the play.","a uniformed baseball player took a swing at the ball, the rest of the team looks on and the catcher is behind him, is ready for the play.","a uniformed baseball player claim a swing at the ball, the stay of the team await on and the catcher is nates him, is ready for the flirt."
10034,neutral,"a uniformed baseball player just took a swing at the ball, as the rest of the team looks on and the catcher behind him, is ready for the play.",the player swung at the ball.,the player ball at the swung.
10035,contradiction,"a uniformed baseball player just took a swing at the ball, as the rest of the team looks on and the catcher behind him, is ready for the play.",the catcher got knocked out at home.,the catcher incur knocked out at home.
10036,contradiction,"a uniformed baseball player just took a swing at the ball, as the rest of the team looks on and the catcher behind him, is ready for the play.",the player drinks a bottle of wine,the player drinks vino a bottle of wine
10037,entailment,"a uniformed baseball player just took a swing at the ball, as the rest of the team looks on and the catcher behind him, is ready for the play.",the player hopes to hit the ball,the clod player hopes to hit the ball
10038,entailment,a baseball player swings at the pitch while the opposing team's catcher is ready for the ball.,a baseball player is at the plate.,a baseball player is at the equal plate.
10039,neutral,a baseball player swings at the pitch while the opposing team's catcher is ready for the ball.,the batter is wearing a gray uniform.,the batter is wearing a grey uniform.
10040,contradiction,a baseball player swings at the pitch while the opposing team's catcher is ready for the ball.,the baseball team has just finished the game.,the team has just finished the game.
10041,entailment,a batter in a white uniform takes a huge swing at the ball.,a person is playing baseball.,baseball person is playing a.
10042,neutral,an older amish lady hangs clothes to dry outside on a line.,the lady has washed her clothing and is hanging it to dry on a sunny day.,the hang lady has washed her clothing hang and is hanging it to dry on a sunny day.
10043,contradiction,an older amish lady hangs clothes to dry outside on a line.,it is raining.,it raining is.
10044,contradiction,an elderly looking woman is hanging up clothes to dry in what appears to be an old town or neighborhood.,the woman is sitting on her front porch.,the woman is sitting on her forepart porch.
10045,contradiction,an amish woman is hanging whites on her clothesline.,nobody is hanging whites.,nobody is hanging whiten.
10046,neutral,an amish woman is hanging whites on her clothesline.,a tall woman hanging whites.,woman tall a hanging whites.
10047,entailment,an amish woman is hanging whites on her clothesline.,a woman hanging whites.,a woman whites.
10048,entailment,an elderly woman wearing an apron and black dress hangs clothes on the laundry line.,the woman is doing laundry.,the doing is woman laundry.
10049,contradiction,an elderly woman wearing an apron and black dress hangs clothes on the laundry line.,the woman is young.,the young is woman.
10050,neutral,an elderly woman wearing an apron and black dress hangs clothes on the laundry line.,the laundry was just finished being washed.,the laundry just finished being washed.
10051,neutral,an elderly looking woman is hanging up clothes to dry in what appears to be an old town or neighborhood.,"the woman is old-fashioned, and won't buy a clothes dryer.","the woman is old-fashioned, and won't buy a dryer clothes."
10052,entailment,an elderly looking woman is hanging up clothes to dry in what appears to be an old town or neighborhood.,a woman is hanging up clothes.,a woman is hanging up.
10053,entailment,an older woman is hanging clothing on a clothesline to dry.,a woman is doing laundry.,a woman is doing washing.
10054,contradiction,an older woman is hanging clothing on a clothesline to dry.,an older woman is putting clothes in a dryer.,an older woman is a clothes in putting dryer.
10055,neutral,an older woman is hanging clothing on a clothesline to dry.,she has already washed the clothes.,she has already dampen the clothes.
10056,neutral,an older amish lady hangs clothes to dry outside on a line.,the lady is outside on a clear day.,the lady is outside on a unclouded day.
10057,entailment,a grand master and students in a martial arts class bow towards each other in a gesture of respect for each other and the sacred art.,the group are inside a martial arts studio.,the group are a martial arts studio.
10058,entailment,four men in dark colored clothing appear to be praying or meditating on a wooden floor,some people are praying or meditating.,some people are praying or.
10059,contradiction,a grand master and students in a martial arts class bow towards each other in a gesture of respect for each other and the sacred art.,the group of soccer players celebrate their recent game.,the grouping group of soccer players celebrate their recent game.
10060,entailment,man wearing blue bowing on floor in front of another man in blue bowing on floor with two other men wearing blue kneeling on same floor also.,a man is wearing something.,a wearing is man something.
10061,contradiction,man wearing blue bowing on floor in front of another man in blue bowing on floor with two other men wearing blue kneeling on same floor also.,a man is wearing nothing.,nil a man is wearing nothing.
10062,neutral,man wearing blue bowing on floor in front of another man in blue bowing on floor with two other men wearing blue kneeling on same floor also.,a man is wearing a blue shirt.,a man is wearing a Amytal shirt.
10063,contradiction,four men in dark colored clothing appear to be praying or meditating on a wooden floor,some monks are practicing martial arts.,practicing monks are some martial arts.
10064,neutral,four men in dark colored clothing appear to be praying or meditating on a wooden floor,some monks are meditating.,some monks are mull.
10065,contradiction,a group of men dressed in blue in monk style robes kneeling and bowing on a wooden floor.,the group of men are dressed in tuxedos.,the group of men are preen in tuxedos.
10066,entailment,a group of men dressed in blue in monk style robes kneeling and bowing on a wooden floor.,the monks are kneeling on the floor.,the monks are kneeling on the floor.
10067,neutral,a group of men dressed in blue in monk style robes kneeling and bowing on a wooden floor.,the men are white men.,the men are White men.
10068,contradiction,"on wooden floor, martial arts instructor bowing before students with all in blue martial arts clothing.",martial arts students are sitting on the carpet.,carpeting martial arts students are sitting on the carpet.
10069,entailment,"on wooden floor, martial arts instructor bowing before students with all in blue martial arts clothing.",a martial arts instructor bows in respect to his students.,students martial arts instructor bows in respect to his a.
10070,neutral,"on wooden floor, martial arts instructor bowing before students with all in blue martial arts clothing.",students in uniform are about to enter a competition.,students in uniform are about to enter competition.
10071,neutral,a grand master and students in a martial arts class bow towards each other in a gesture of respect for each other and the sacred art.,the students are preparing to showcase their martial arts.,the students are preparing warlike to showcase their martial arts.
10072,contradiction,three players participating in a team sport.,the man is the only one who showed up for the game,the man is the only 1 who exhibit up for the game
10073,neutral,teenagers at a field playing a sport.,the teenagers are playing basketball.,the teenagers are playact basketball.
10074,entailment,teenagers at a field playing a sport.,the teenagers are outdoors.,are teenagers the outdoors.
10075,neutral,three rugby players in a field two are in a sprinting stance but all three have masks to protect their faces.,the masked men are playing for the tiebreaker point in the rugby match.,the masked men playing are for the tiebreaker point in the rugby match.
10076,contradiction,three rugby players in a field two are in a sprinting stance but all three have masks to protect their faces.,the men are robbing a bank.,the men are pluck a bank.
10077,entailment,three rugby players in a field two are in a sprinting stance but all three have masks to protect their faces.,the men are playing rugby.,are men the playing rugby.
10078,contradiction,"three males, in green t-shirts and shorts, practicing lacrosse, on a green grassy marked field.",three girls are playing lacrosse on the field.,three girls miss are playing lacrosse on the field.
10079,neutral,"three males, in green t-shirts and shorts, practicing lacrosse, on a green grassy marked field.","three guys wearing green tees, shorts and white socks and shoes are practicing.","trine bozo wearing green tees, shorts and white socks and shoes are practicing."
10080,entailment,kids playing cricket with pads on,some kids are wearing safety gear.,some kids are refuge wearing safety gear.
10081,entailment,three players participating in a team sport.,the players are in a game,the players in a game
10082,neutral,three players participating in a team sport.,they are playing soccer,they embody are playing soccer
10083,entailment,"three males, in green t-shirts and shorts, practicing lacrosse, on a green grassy marked field.",three guys are on the field.,are guys three on the field.
10084,neutral,kids playing cricket with pads on,these kids are afraid of getting injured.,these kids are afraid of nonplus injured.
10085,contradiction,kids playing cricket with pads on,some kids are playing tennis.,some playing are kids tennis.
10086,contradiction,teenagers at a field playing a sport.,the teenagers are at home playing games.,the teenagers are at home game playing games.
10087,neutral,a man in a black leather jacket plays a saxophone.,the grass was green,the grass was 
10088,contradiction,a man playing the saxophone.,a child jumps rope in the park.,a child jumps in the park.
10089,neutral,a man playing the saxophone.,a man with a saxophone plays.,a man piece with a saxophone plays.
10090,entailment,a man playing the saxophone.,a man plays his sax,a man plays serviceman his sax
10091,neutral,a man is playing a saxaphone.,a person is holding a instrument.,a person is a instrument.
10092,contradiction,a man is playing a saxaphone.,the man is singing the song.,the song is singing the man.
10093,entailment,a saxophone player playing in a studio.,the saxophone player is indoors.,the saxophone participant is indoors.
10094,neutral,a saxophone player playing in a studio.,the saxophone player is recording a new jazz song.,the saxophone player is recording a new bed song.
10095,contradiction,a saxophone player playing in a studio.,the person in the studio is practicing karate.,the person in the studio is soul practicing karate.
10096,entailment,a man is playing a saxaphone.,the man is holding a saxaphone.,the man is holding a.
10097,entailment,a man in a leather coat plays a saxophone into a microphone.,a man is performing using a saxophone.,a man is performing utilise a saxophone.
10098,neutral,a man in a leather coat plays a saxophone into a microphone.,the man is playing jazz music.,the man is flirt jazz music.
10099,contradiction,a man in a leather coat plays a saxophone into a microphone.,a man is playing a flute.,a mankind is playing a flute.
10100,entailment,a man in a black leather jacket plays a saxophone.,a bird was on rocks,a bird was rocks on
10101,contradiction,a man in a black leather jacket plays a saxophone.,the boy  was listening to music,the boy  was heed to music
10102,neutral,a little girl is playing t-ball.,a little girl is outside playing.,a petty girl is outside playing.
10103,neutral,an adorable little girl with pigtails and glasses is about to take a swing at a baseball.,girl going to him home run,girl going pass to him home run
10104,entailment,an adorable little girl with pigtails and glasses is about to take a swing at a baseball.,girl plays baseball,girl flirt baseball
10105,contradiction,an adorable little girl with pigtails and glasses is about to take a swing at a baseball.,boy sits on stool,boy sits on crap
10106,contradiction,a young bespectacled girl attempts to hit a softball from a free-standing batting tee.,"the young girl is in bed, sleeping.","the young girl is in youthful bed, sleeping."
10107,neutral,a young bespectacled girl attempts to hit a softball from a free-standing batting tee.,the young baseball player is practicing in the batting cage.,the young thespian baseball player is practicing in the batting cage.
10108,entailment,a young bespectacled girl attempts to hit a softball from a free-standing batting tee.,the young female is moving her arms.,the young locomote female is moving her arms.
10109,entailment,"a young pig-tailed girl, is swinging her bat at a ball on a post.",the girl is swinging a bat.,the girl is A swinging a bat.
10110,contradiction,"a young pig-tailed girl, is swinging her bat at a ball on a post.",the girl is swimming.,the girl is liquid.
10111,neutral,"a young pig-tailed girl, is swinging her bat at a ball on a post.",the girl is practicing softball.,the miss is practicing softball.
10112,entailment,a little girl on a baseball field swinging at a baseball on a tee.,a little girl is playing ball.,a little girl is ball playing.
10113,neutral,a little girl on a baseball field swinging at a baseball on a tee.,a little girl is trying out for baseball.,a little daughter is trying out for baseball.
10114,contradiction,a little girl on a baseball field swinging at a baseball on a tee.,a little girl plays alone with her dolls.,a little girl plays alone with dolls.
10115,entailment,a little girl is playing t-ball.,a girl is playing a sport.,a girl sport playing a is.
10116,contradiction,a little girl is playing t-ball.,a girl is eating at the table.,a girl is eating at adenine the table.
10117,contradiction,man on skis looking at artwork for sale in the snow,artwork on skis is looking at a man.,artwork man skis is looking at a on.
10118,contradiction,a man skis past another man displaying paintings in the snow.,the snow painting displayed are destroyed by a careless skiier.,the snow displayed are destroyed by a skiier.
10119,neutral,a man skis past another man displaying paintings in the snow.,an artist displays his snow painting while an avid skier whizzes past.,an artist displays his snow painting past an avid skier whizzes while.
10120,entailment,a man skis past another man displaying paintings in the snow.,a man is showing off his painting in the snow while another man skis by.,a serviceman is shew off his painting in the bamboozle while another man skis by.
10121,neutral,a man skis past another man displaying paintings in the snow.,a man skis past his brother.,brother man skis past his a.
10122,neutral,a man skis past another man displaying paintings in the snow.,a man is displaying paintings at a ski resort as part of an art festival.,a man displaying paintings a resort as part of an art festival.
10123,contradiction,a man skis past another man displaying paintings in the snow.,kids are playing on the grass.,kids are playing on the.
10124,entailment,a man skis past another man displaying paintings in the snow.,a man skis and a painter is painting outside.,a humankind skis and a painter is painting outside.
10125,entailment,a man skis past another man displaying paintings in the snow.,"there are two men, paintings and snow.","there are two, paintings and snow."
10126,neutral,a man skis past another man displaying paintings in the snow.,a man in showing his painting of skiers.,a man in showing his painting angstrom of skiers.
10127,contradiction,a man skis past another man displaying paintings in the snow.,there are two men laying on the beach.,there are ii men laying on the beach.
10128,entailment,a man skis past another man displaying paintings in the snow.,two men are outside in the cold.,two men cold outside in the are.
10129,contradiction,a man skis past another man displaying paintings in the snow.,a man is snowboarding past another man.,a humans is snowboarding past another man.
10130,neutral,a man skis past another man displaying paintings in the snow.,"there are two men smiling at each other, in the snow.","there two men smiling at each, in the snow."
10131,entailment,a man skis past another man displaying paintings in the snow.,a man is skiing.,a humanity is skiing.
10132,contradiction,a man skis past another man displaying paintings in the snow.,the sun is hot on the beach in cancun,the sun is hot comprise on the beach in cancun
10133,contradiction,a man in a hat is displaying pictures next to a skier in a blue hat.,the skier is not wearing a hat.,the skier is not jade a hat.
10134,neutral,a man in a hat is displaying pictures next to a skier in a blue hat.,the skier has blue gloves on.,the skier has dismal gloves on.
10135,entailment,a man in a hat is displaying pictures next to a skier in a blue hat.,a man is standing by a skier.,a man is standing by tolerate a skier.
10136,entailment,a person wearing skis looking at framed pictures set up in the snow.,a person is in the snow.,a person is in snow.
10137,neutral,a person wearing skis looking at framed pictures set up in the snow.,a person is about to enter a ski contest.,a person is about to enter contest ski a.
10138,contradiction,a person wearing skis looking at framed pictures set up in the snow.,a girl is taking pictures.,a girlfriend is taking pictures.
10139,entailment,a skier looks at framed pictures in the snow next to trees.,the skier glares into the picture that sits next to the trees.,the skier glares into the picture that flick sits next to the trees.
10140,neutral,a skier looks at framed pictures in the snow next to trees.,the skier stares at the picture of his lost family.,the skier recede stares at the picture of his lost family.
10141,contradiction,a skier looks at framed pictures in the snow next to trees.,the skier looks at the tree on fire.,the skier looks the tree on fire.
10142,contradiction,man on skis looking at artwork for sale in the snow,"a man is walking through the carnival, looking at art.","a man is walking art the carnival, looking at through."
10143,entailment,man on skis looking at artwork for sale in the snow,a man is cross-country skiing and looks at art for sale.,a constitute man is cross-country skiing and looks at art for sale.
10144,neutral,man on skis looking at artwork for sale in the snow,a man is going to buy a picture.,a man is going to buy a project.
10145,neutral,man on skis looking at artwork for sale in the snow,a man on skies is buying artwork.,skies man on a is buying artwork.
10146,entailment,man on skis looking at artwork for sale in the snow,the man is on skis.,the is on skis.
10147,entailment,man on skis looking at artwork for sale in the snow,there is a man standing outside.,there is outside man standing a.
10148,entailment,man on skis looking at artwork for sale in the snow,there is a man on skis.,there a is man on skis.
10149,contradiction,man on skis looking at artwork for sale in the snow,the art sale is during the summer.,the artistry sale is during the summer.
10150,neutral,man on skis looking at artwork for sale in the snow,a man is buying art.,a world is buying art.
10151,contradiction,man on skis looking at artwork for sale in the snow,a woman is looking at clothes,woman is looking at clothes
10152,neutral,man on skis looking at artwork for sale in the snow,"a man is skiing down the street and notices a street fair, with art for sale.","a man is skiing down the street and with a street sale, notices art for fair."
10153,neutral,man on skis looking at artwork for sale in the snow,the artwork is expensive.,artwork is expensive.
10154,contradiction,man on skis looking at artwork for sale in the snow,a dog is on skis.,a dog is on.
10155,entailment,man on skis looking at artwork for sale in the snow,a man looking at pictures.,man looking at pictures.
10156,neutral,a little girl blowing bubbles.,a child blowing bubbles while her friends watch.,a child blowing bubbles while her swash friends watch.
10157,entailment,a little girl is blowing bubbles in a field.,a little girl is playing outside.,a little represent girl is playing outside.
10158,contradiction,a little girl is blowing bubbles in a field.,a little girl looks out the window on a rainy day.,a little rainy looks out the window on a girl day.
10159,neutral,a small girl in a dress blows bubbles in a grassy field.,the girl is wearing a flower print dress.,the girl is bear a flower print dress.
10160,contradiction,a small girl in a dress blows bubbles in a grassy field.,a girl is sitting on a blanket eating a sandwich.,a girl is sitting a blanket eating a.
10161,neutral,a small girl in a dress blows bubbles in a grassy field.,the girl is wearing a blue dress.,the girl is wearing a risque dress.
10162,neutral,a small girl in a dress blows bubbles in a grassy field.,the field was grassy in springtime.,field was grassy in springtime.
10163,contradiction,a small girl in a dress blows bubbles in a grassy field.,"the girl is on the beach, relaxing.","the girl is on beach, relaxing."
10164,entailment,a small girl in a dress blows bubbles in a grassy field.,a small girl is out in the fresh air.,a small is out in the fresh air.
10165,contradiction,a small girl in a dress blows bubbles in a grassy field.,the girl is wearing a snowsuit.,the girl is fatigue a snowsuit.
10166,neutral,a small girl in a dress blows bubbles in a grassy field.,a little child is dressed to go to church.,a little child is dressed go to to church.
10167,entailment,a small girl in a dress blows bubbles in a grassy field.,the girl is blowing bubbles.,the girl is spoil bubbles.
10168,contradiction,a small girl in a dress blows bubbles in a grassy field.,a boy ran through a field of bubbles.,boy ran through a field of bubbles.
10169,entailment,a small girl in a dress blows bubbles in a grassy field.,a girl in a field blew bubbles.,a girl bubbles a field blew in.
10170,entailment,a small girl in a dress blows bubbles in a grassy field.,a young girl is making bubbles outside.,outside young girl is making bubbles a.
10171,neutral,a small girl in a dress blows bubbles in a grassy field.,a girl is playing with bubbles in the meadow after a picnic.,a girl is playing afterwards with bubbles in the meadow after a picnic.
10172,contradiction,a small girl in a dress blows bubbles in a grassy field.,a woman is walking through a desert.,a woman is walking through a forsake.
10173,entailment,a small girl in a dress blows bubbles in a grassy field.,a girl is outside.,a girl is.
10174,entailment,a little girl with brown hair is blowing the petals off of a flower.,a little girl is playing with flowers.,a little girl is playing flowers.
10175,contradiction,a little girl with brown hair is blowing the petals off of a flower.,a little girl is sleep.,sleep little girl is a.
10176,entailment,a little girl with brown hair is blowing the petals off of a flower.,a little girl is blowing the petals.,a little girl is blowing petals the.
10177,entailment,"a very young girl playing with a bubble-blowing wand, holding a bottle of bubble solution and walking through a park or field.",a little girl enjoys playing with bubbles.,a little girl enjoys playing gurgle with bubbles.
10178,entailment,"a very young girl playing with a bubble-blowing wand, holding a bottle of bubble solution and walking through a park or field.",a young girl walks outside holding a bottle of bubbles and a wand,a young girl walks outside a holding bottle of bubbles and a wand
10179,contradiction,"a very young girl playing with a bubble-blowing wand, holding a bottle of bubble solution and walking through a park or field.",a young girl is carrying a hula hoop at the playground.,a young girl is run a hula ring at the playground.
10180,entailment,"a very young girl playing with a bubble-blowing wand, holding a bottle of bubble solution and walking through a park or field.",a girl is walking while carrying a bubble-blowing wand.,a is walking while carrying a bubble-blowing wand.
10181,contradiction,"a very young girl playing with a bubble-blowing wand, holding a bottle of bubble solution and walking through a park or field.",a boy is sliding at the park.,a sliding is boy at the park.
10182,contradiction,"a very young girl playing with a bubble-blowing wand, holding a bottle of bubble solution and walking through a park or field.",a girl is pushing a doll in a stroller.,a girl is crowd a doll in a stroller.
10183,neutral,"a very young girl playing with a bubble-blowing wand, holding a bottle of bubble solution and walking through a park or field.",the girl is on vacation.,the fille is on vacation.
10184,neutral,"a very young girl playing with a bubble-blowing wand, holding a bottle of bubble solution and walking through a park or field.",some children tend to get distracted.,some children tend to gravel distracted.
10185,neutral,"a very young girl playing with a bubble-blowing wand, holding a bottle of bubble solution and walking through a park or field.",a girl is making bubbles in the park.,a girl is making fille bubbles in the park.
10186,contradiction,"a very young girl playing with a bubble-blowing wand, holding a bottle of bubble solution and walking through a park or field.",the girl is indoors.,girl the is indoors.
10187,entailment,"a very young girl playing with a bubble-blowing wand, holding a bottle of bubble solution and walking through a park or field.",the young girl playing with bubbles.,the young playing with bubbles.
10188,entailment,"a very young girl playing with a bubble-blowing wand, holding a bottle of bubble solution and walking through a park or field.",a young girl blows bubbles as she walks through the park.,a young girl blows bubbles as she drift walks through the park.
10189,neutral,"a very young girl playing with a bubble-blowing wand, holding a bottle of bubble solution and walking through a park or field.",a young girl is taking bubble solution and a bubble wand to a birthday party.,a young girl is unseasoned taking bubble solution and a bubble wand company to a birthday party.
10190,neutral,"a very young girl playing with a bubble-blowing wand, holding a bottle of bubble solution and walking through a park or field.",a young girl is blowing bubbles in the park,a young girl is blowing eruct in the park
10191,contradiction,"a very young girl playing with a bubble-blowing wand, holding a bottle of bubble solution and walking through a park or field.",the girl writes in her diary.,the girl save in her diary.
10192,contradiction,a little girl blowing bubbles.,an old man blowing bubbles while a little girl watches.,an old man bubbles blowing while a little girl watches.
10193,entailment,a little girl blowing bubbles.,a child blowing bubbles.,bobble a child blowing bubbles.
10194,neutral,a little girl is blowing bubbles in a field.,a little girl plays with her mom on a sunny day.,a little girl plays with her mom on a sunny work day.
10195,contradiction,a kid wearing a gap hat looks into the camera with a funny face and ice cream cone in his hand while a woman looks on from behind him.,a boy and girl are eating ice cream together.,a boy and girl are cream ice eating together.
10196,neutral,a kid wearing a gap hat looks into the camera with a funny face and ice cream cone in his hand while a woman looks on from behind him.,a woman in a black dress watches.,a woman in watches black dress a.
10197,entailment,a kid wearing a gap hat looks into the camera with a funny face and ice cream cone in his hand while a woman looks on from behind him.,a kid eating ice cream.,a ICE kid eating ice cream.
10198,neutral,a kid wearing a gap hat looks into the camera with a funny face and ice cream cone in his hand while a woman looks on from behind him.,the woman is walking behind a photo being taken.,behind woman is walking the a photo being taken.
10199,entailment,a kid wearing a gap hat looks into the camera with a funny face and ice cream cone in his hand while a woman looks on from behind him.,the child is going to eat ice cream.,the ICE child is going to eat ice cream.
10200,neutral,a kid wearing a gap hat looks into the camera with a funny face and ice cream cone in his hand while a woman looks on from behind him.,a woman puts away change after buying a child ice cream.,a woman puts away adenine change after buying a child ice cream.
10201,contradiction,a kid wearing a gap hat looks into the camera with a funny face and ice cream cone in his hand while a woman looks on from behind him.,a kid wearing a gap hat is drinking a milkshake.,a kid wearing a gap A hat is drinking a milkshake.
10202,neutral,a kid wearing a gap hat looks into the camera with a funny face and ice cream cone in his hand while a woman looks on from behind him.,"a little boy is standing with ice cream, in front of his mom.","a is standing with ice cream, in front of his mom."
10203,entailment,a kid wearing a gap hat looks into the camera with a funny face and ice cream cone in his hand while a woman looks on from behind him.,a child is eating ice cream in front of a lady.,child is eating ice cream in front a lady.
10204,entailment,a kid wearing a gap hat looks into the camera with a funny face and ice cream cone in his hand while a woman looks on from behind him.,a child is eating sweets.,a child is eating sugariness.
10205,contradiction,a kid wearing a gap hat looks into the camera with a funny face and ice cream cone in his hand while a woman looks on from behind him.,a woman eats the child's ice cream.,a woman the child's ice cream.
10206,contradiction,a kid wearing a gap hat looks into the camera with a funny face and ice cream cone in his hand while a woman looks on from behind him.,the kid is eating fois gras at a five star restaurant.,the axerophthol kid is eating fois gras at a five star restaurant.
10207,neutral,a kid wearing a gap hat looks into the camera with a funny face and ice cream cone in his hand while a woman looks on from behind him.,the woman is his mother.,the woman is his father.
10208,contradiction,a kid wearing a gap hat looks into the camera with a funny face and ice cream cone in his hand while a woman looks on from behind him.,the child is eating a piece of pizza.,the child is eating a of pizza.
10209,contradiction,a boy in a gap hat is making a silly face.,the boy in the nike hat is squinting.,is boy in the nike hat the squinting.
10210,neutral,a boy in a gap hat is making a silly face.,the boy in the hat looks like a fool.,the boy in the hat tone like a fool.
10211,neutral,a woman sits with a boy in an orange hat with a cookie in his hand as he makes a funny face.,the woman and boy are posing for a photo ad.,woman and boy are posing for a photo.
10212,entailment,a woman sits with a boy in an orange hat with a cookie in his hand as he makes a funny face.,the boy is trying to make the woman laugh,the boy is trying to give the woman laugh
10213,neutral,a woman sits with a boy in an orange hat with a cookie in his hand as he makes a funny face.,the boy does not like the way the cookie tastes.,the boy way not like the does the cookie tastes.
10214,entailment,a woman sits with a boy in an orange hat with a cookie in his hand as he makes a funny face.,a boy is wearing a hat and making a funny face.,a boy is assume a hat and making a rummy face.
10215,contradiction,a woman sits with a boy in an orange hat with a cookie in his hand as he makes a funny face.,these people are aliens.,these are aliens.
10216,contradiction,a woman sits with a boy in an orange hat with a cookie in his hand as he makes a funny face.,the woman eats a cookie alone,the woman eats char a cookie alone
10217,neutral,a woman sits with a boy in an orange hat with a cookie in his hand as he makes a funny face.,a mother is sitting with her son.,a mother is sitting with son.
10218,neutral,a woman sits with a boy in an orange hat with a cookie in his hand as he makes a funny face.,a woman and a boy are both holding cookies.,a woman and a boy are both support cookies.
10219,entailment,a woman sits with a boy in an orange hat with a cookie in his hand as he makes a funny face.,a boy is making a funny face as he has a snack.,boy making a funny face as he has a snack.
10220,contradiction,a woman sits with a boy in an orange hat with a cookie in his hand as he makes a funny face.,the boy holding a cookie is not wearing a hat.,the holding a cookie not wearing a hat.
10221,neutral,a woman sits with a boy in an orange hat with a cookie in his hand as he makes a funny face.,the mother bought her son a cookie,bribe the mother bought her son a cookie
