,label,original,hypothesis,modified
7796,entailment,a man and a woman walking across a field of grass.,a man and woman walking across a field.,a man and woman walking across a field.
7797,contradiction,a man and a woman walking across a field of grass.,two women walking across a field.,two women walking across a field.
7798,contradiction,two people walking in a field.,two people are working in an office.,two people are working in an office.
7799,neutral,two people walking in a field.,two people are walking in town.,two people are walking in town.
7800,entailment,two people walking in a field.,two people are walking.,two people are walking.
7801,entailment,a man in a gray tank top and woman in a black tank top walk across a grassy field.,some people are walking in a field,some people are walking in a field
7802,neutral,a man in a gray tank top and woman in a black tank top walk across a grassy field.,a couple is holding hands while taking a romantic stroll through a field,a couple is holding hands while taking a romantic stroll through a field
7803,contradiction,a man in a gray tank top and woman in a black tank top walk across a grassy field.,two people in sweaters are sitting in a coffee shop,two people in sweaters are sitting in a coffee shop
7804,contradiction,a man with a hat and a woman with a black top are walking on a grass field.,dog looks at fish,dog looks at fish
7805,entailment,a man with a hat and a woman with a black top are walking on a grass field.,man and woman walk,man and woman walk
7806,entailment,a man jumps into the blue water pool.,the man can jump.,the man can jump.
7807,neutral,a man is about to do a belly-smacker into the pool.,the man jumped stomach first into the pool so he could make his friends laugh.,the man jumped stomach first into the pool so he could make his friends laugh.
7808,contradiction,the boy in the black swim trunks dives into the pool.,the boy is asleep on a pool chair.,the boy is asleep on a pool chair.
7809,entailment,a young boy jumps into a pool with outstretched arms.,"there is a boy in this picture, and he is outside.","there is a boy in this picture, and he's outside."
7810,contradiction,a young boy jumps into a pool with outstretched arms.,"the young boy is sitting in the cool grass, enjoying a popsicle.","the young boy is sitting in the cool grass, enjoying a popsicle."
7811,neutral,a young boy jumps into a pool with outstretched arms.,"the boy is visiting his cousins, who have their own swimming pool that he wants to enjoy.","the boy is visiting his cousins, who've their own swimming pool that he wants to enjoy."
7812,neutral,the boy in the black swim trunks dives into the pool.,the boy is scared that his swim trunks will fall off.,the boy is scared that his swim trunks will fall off.
7813,entailment,the boy in the black swim trunks dives into the pool.,the boy is splashing into the water.,the boy is splashing into the water.
7814,contradiction,a man jumps into the blue water pool.,the water is red.,the water is red.
7815,contradiction,a man is about to do a belly-smacker into the pool.,the man chose to avoid the pool.,the man chose to avoid the pool.
7816,entailment,the boy is jumping into the large pool.,a boy about to get wet.,a boy about to get wet.
7817,contradiction,the boy is jumping into the large pool.,the boy is running away from a pack of lions into a bubblebath.,the boy is running away from a pack of lions into a bubblebath.
7818,neutral,the boy is jumping into the large pool.,a boy is jumping into an empty pool.,a boy is jumping into an empty pool.
7819,neutral,a man jumps into the blue water pool.,the water is cold.,the water is cold.
7820,entailment,a man is about to do a belly-smacker into the pool.,the man jumped toward the pool.,the man jumped toward the pool.
7821,neutral,"a young man skateboards in black shoes, black pants, and a white top with sunglasses.",a man skateboards to the store.,a man skateboards to the store.
7822,neutral,a man on a skateboard,a man is doing tricks outside.,a man is doing tricks outside.
7823,entailment,a man on a skateboard,a man skates by.,a man skates by.
7824,contradiction,skateboarder wearing shades in front of a wall that looks like fishscales.,the skateboarder is jumping off a pile of snow.,the skateboarder is jumping off a pile of snow.
7825,contradiction,a man on a skateboard,a man is swimming.,a man is swimming.
7826,contradiction,a man is skateboarding on asphalt while the sun beams over a wall.,a man is skateboarding in the dark.,a man is skateboarding in the dark.
7827,entailment,a man is skateboarding on asphalt while the sun beams over a wall.,a man is skateboarding.,a man is skateboarding.
7828,neutral,a man is skateboarding on asphalt while the sun beams over a wall.,a man is skateboarding at midday.,a man is skateboarding at midday.
7829,entailment,skateboarder wearing shades in front of a wall that looks like fishscales.,the skateboarder is outdoors.,the skateboarder is outdoors.
7830,neutral,skateboarder wearing shades in front of a wall that looks like fishscales.,the skateboarder likes to exercise.,the skateboarder likes to exercise.
7831,entailment,a guy with sunglasses stands on a skateboard in front of a circle design wall.,someone with sunglasses is skateboarding.,someone with sunglasses is skateboarding.
7832,neutral,a guy with sunglasses stands on a skateboard in front of a circle design wall.,someone is skateboarding down a brick path.,someone is skateboarding down a brick path.
7833,contradiction,a guy with sunglasses stands on a skateboard in front of a circle design wall.,someone is being pulled by a dog.,someone is being pulled by a dog.
7834,contradiction,"a young man skateboards in black shoes, black pants, and a white top with sunglasses.",a woman skateboards.,a woman skateboards.
7835,entailment,"a young man skateboards in black shoes, black pants, and a white top with sunglasses.",a man skateboards.,a man skateboards.
7836,contradiction,the bicyclist has both wheels off the ground.,"a trick bicyclist is doing a wheelie, only one wheel on the ground.","a trick bicyclist is doing a wheelie, only one wheel on the ground."
7837,neutral,a trials biker doing a trick in the air.,a man is showing out for a group of kids by doing tricks on his bike.,a man is showing out for a group of kids by doing tricks on his bike.
7838,entailment,a bicyclist doing a jump.,the bicyclist is in the air.,the bicyclist is in the air.
7839,neutral,a bicyclist doing a jump.,the bicyclist is doing a trick.,the bicyclist is doing a trick.
7840,contradiction,a bicyclist doing a jump.,the bicyclist is on the ground.,the bicyclist is on the ground.
7841,neutral,a man performs a trick on a yellow bike in a skate park covered in graffiti.,a man does a 360 on a bike at park,a man does a 300 on a bike at park
7842,contradiction,a lone bicyclist wearing a helmet jumping a graffitied concrete ramp.,the guy on the bike had on a baseball hat.,the guy on the bike had on a baseball hat.
7843,entailment,a man performs a trick on a yellow bike in a skate park covered in graffiti.,a man on a bike in a park,a man on a bike in a park
7844,entailment,the bicyclist has both wheels off the ground.,the bicycle is airborne.,the bicycle is airborne.
7845,entailment,a lone bicyclist wearing a helmet jumping a graffitied concrete ramp.,the boy jumped the concrete ramp.,the boy jumped the concrete ramp.
7846,neutral,a lone bicyclist wearing a helmet jumping a graffitied concrete ramp.,the bicyclist was wearing a helmut.,the bicyclist was wearing a helmut.
7847,contradiction,a man performs a trick on a yellow bike in a skate park covered in graffiti.,a man on rollerblades does a trick at park,a man on rollerblades does a trick at park
7848,entailment,a trials biker doing a trick in the air.,a person is performing a trick on a bike.,a person is performing a trick on a bike.
7849,neutral,the bicyclist has both wheels off the ground.,a guy doing tricks on his bicycle has just launched off a ramp and is sailing through the air.,a guy doing tricks on his bicycle has just launched off a ramp and is sailing through the air.
7850,contradiction,a trials biker doing a trick in the air.,a guy is frosting a birthday cake.,a guy is frosting a birthday cake.
7851,contradiction,a man in black and white is holding a torch in front of a crowd.,the man is holding a cellphone.,the man is holding a cellphone.
7852,entailment,a man in black and white is holding a torch in front of a crowd.,the thing the man is holding is on fire.,the thing the man is holding is on fire.
7853,contradiction,a man in a vest and tie holding a flaming stick in a crowded area.,a man goes swimming,a man goes swimming
7854,entailment,a man in a vest and tie holding a flaming stick in a crowded area.,a man holds fire in a crowd.,a man holds fire in a crowd.
7855,neutral,a man in a vest and tie holding a flaming stick in a crowded area.,a man holds a torch.,a man holds a torch.
7856,contradiction,a man about to eat fire in the town square.,there is no square in the town.,there's no square in the town.
7857,neutral,a man about to eat fire in the town square.,the man is clearing his throat.,the man is clearing his throat.
7858,entailment,an old man juggling fire outside a street corner.,a street performer is juggling.,a street performer is juggling.
7859,contradiction,an old man juggling fire outside a street corner.,a old man is burning alive.,a old man is burning alive.
7860,entailment,an old man juggling fire outside a street corner.,a man is juggling fire.,a man is juggling fire.
7861,entailment,a man doing some type of public show involving fire.,a man is doing a show with fire.,a man is doing a show with fire.
7862,neutral,a man doing some type of public show involving fire.,a magician is doing a show with fire.,a magician is doing a show with fire.
7863,entailment,a man about to eat fire in the town square.,the town has a square.,the town has a square.
7864,contradiction,a man doing some type of public show involving fire.,a magician is eating fire.,a magician is eating fire.
7865,neutral,a man in black and white is holding a torch in front of a crowd.,the man is addressing the crowd.,the man is addressing the crowd.
7866,neutral,a man stands in front of a street vending booth with his hands crossed awkwardly in front of him while two yellow taxis are seen in the background of the cityscape.,a man is waiting for a taxi that never shows up.,a man is waiting for a taxi that never shows up.
7867,entailment,a man stands in front of a street vending booth with his hands crossed awkwardly in front of him while two yellow taxis are seen in the background of the cityscape.,a man stands by a booth,a man stands by a booth
7868,entailment,a man stands in front of a street vending booth with his hands crossed awkwardly in front of him while two yellow taxis are seen in the background of the cityscape.,a person standing,a person standing
7869,entailment,a man is standing in front of a street stand with folded hands.,the man is standing outdoors.,the man is standing outdoors.
7870,contradiction,a man is standing in front of a street stand with folded hands.,the man is leafing though a magazine.,the man is leafing though a magazine.
7871,neutral,a man is standing in front of a street stand with folded hands.,the stand features a colorful variety of fruit.,the stand features a colorful variety of fruit.
7872,neutral,a man stands in front of a street vending booth with his hands crossed awkwardly in front of him while two yellow taxis are seen in the background of the cityscape.,"a man stands with his hands crossed awkwardly in front of him, trying to decide what to buy from a vending booth on the street","a man stands with his hands crossed awkwardly in front of him, trying to decide what to buy from a vending booth on the street"
7873,entailment,a man stands in front of a street vending booth with his hands crossed awkwardly in front of him while two yellow taxis are seen in the background of the cityscape.,two taxis driving in the city.,two taxis driving in the city.
7874,entailment,a man stands in front of a street vending booth with his hands crossed awkwardly in front of him while two yellow taxis are seen in the background of the cityscape.,a man stands by a booth,a man stands by a booth
7875,contradiction,a man stands in front of a street vending booth with his hands crossed awkwardly in front of him while two yellow taxis are seen in the background of the cityscape.,a cat drinks out of a bowl,a cat drinks out of a bowl
7876,contradiction,a man stands in front of a street vending booth with his hands crossed awkwardly in front of him while two yellow taxis are seen in the background of the cityscape.,the two taxis have crashed into each other hitting the man with his hands crossed in front of him.,the two taxis have crashed into each other hitting the man with his hands crossed in front of him.
7877,neutral,a man stands in front of a street vending booth with his hands crossed awkwardly in front of him while two yellow taxis are seen in the background of the cityscape.,a tall person standing,a tall person standing
7878,contradiction,a street vendor that sells ties and sunglasses is standing with his hands together looking at the camera.,the vendor is sitting and trying to power nap.,the vendor is sitting and trying to power nap.
7879,entailment,a street vendor that sells ties and sunglasses is standing with his hands together looking at the camera.,a vendor sells ties and sunglasses,a vendor sells ties and sunglasses
7880,entailment,a street vendor that sells ties and sunglasses is standing with his hands together looking at the camera.,the vendor is standing.,the vendor is standing.
7881,neutral,a street vendor that sells ties and sunglasses is standing with his hands together looking at the camera.,"a vendor sells ties, sunglasses, and newspapers","a vendor sells ties, sunglasses, and newspapers"
7882,contradiction,a street vendor that sells ties and sunglasses is standing with his hands together looking at the camera.,the vendor is sitting down,the vendor is sitting down
7883,neutral,a street vendor that sells ties and sunglasses is standing with his hands together looking at the camera.,the camera is brand new.,the camera is brand new.
7884,contradiction,a main in a white shirt and tan pants stands in front of a stand that sells various goods.,nobody is standing,nobody is standing
7885,neutral,a man stands in front of a street vending booth with his hands crossed awkwardly in front of him while two yellow taxis are seen in the background of the cityscape.,a man is waiting for a taxi,a man is waiting for a taxi
7886,contradiction,a man stands in front of a street vending booth with his hands crossed awkwardly in front of him while two yellow taxis are seen in the background of the cityscape.,a man sits on his hands in a small booth on the street,a man sits on his hands in a small booth on the street
7887,neutral,a main in a white shirt and tan pants stands in front of a stand that sells various goods.,a tall human standing,a tall human standing
7888,entailment,a main in a white shirt and tan pants stands in front of a stand that sells various goods.,a human standing,a human standing
7889,contradiction,a man with a white shirt standing next to a vending stall.,a man with a red shirt sitting next to a bathroom stall.,a man with a red shirt sitting next to a bathroom stall.
7890,neutral,a man with a white shirt standing next to a vending stall.,a man with a white shirt standing next to a vending stall waiting to refill it with merchandise.,a man with a white shirt standing next to a vending stall waiting to refill it with merchandise.
7891,entailment,a man with a white shirt standing next to a vending stall.,a man standing next to a vending stall.,a man standing next to a vending stall.
7892,neutral,a man stands in front of a street vending booth with his hands crossed awkwardly in front of him while two yellow taxis are seen in the background of the cityscape.,a man is wondering what to do,a man is wondering what to do
7893,entailment,a man stands in front of a street vending booth with his hands crossed awkwardly in front of him while two yellow taxis are seen in the background of the cityscape.,a man stands with his hands crossed awkwardly in front of him next to a vending booth on the street,a man stands with his hands crossed awkwardly in front of him next to a vending booth on the street
7894,contradiction,a man stands in front of a street vending booth with his hands crossed awkwardly in front of him while two yellow taxis are seen in the background of the cityscape.,nobody is standing.,nobody is standing.
7895,contradiction,a man stands in front of a street vending booth with his hands crossed awkwardly in front of him while two yellow taxis are seen in the background of the cityscape.,a man sleeps in a tent,a man sleeps in a tent
7896,neutral,a red car travels down the street.,the red car traveled down the street to the parking lot.,the red car traveled down the street to the parking lot.
7897,contradiction,a red rally jeep parked in the street.,a red rally jeep is speeding down the highway.,a red rally jeep is speeding down the highway.
7898,neutral,a red rally jeep parked in the street.,a red rally jeep is parked in the street for the rally.,a red rally jeep is parked in the street for the rally.
7899,contradiction,person looking out of a red colored vehicle driving down the street.,the person is buried in a pile of snow.,the person is buried in a pile of snow.
7900,neutral,person looking out of a red colored vehicle driving down the street.,a person wanted to cruise down the beach highway to distress himself.,a person wanted to cruise down the beach highway to distress himself.
7901,entailment,person looking out of a red colored vehicle driving down the street.,a human inside a vehicle outside.,a human inside a vehicle outside.
7902,contradiction,a red suv with a woman inside,a man is in a green car.,a man is in a green car.
7903,entailment,a red suv with a woman inside,there is a person in the suv.,there's a person in the suv.
7904,neutral,a red suv with a woman inside,the woman is driving a red suv.,the woman is driving a red suv.
7905,entailment,a person wearing a hat riding in a red car and looking out the window,a person is in a car.,a person is in a car.
7906,neutral,a person wearing a hat riding in a red car and looking out the window,"a man wearing a top hat, driving a red camaro and looking out the window.","a man wearing a top hat, driving a red camaro and looking out the window."
7907,contradiction,a person wearing a hat riding in a red car and looking out the window,an empty parked black car in a large parking lot.,an empty parked black car in a large parking lot.
7908,contradiction,a red car travels down the street.,the black car traveled down the street.,the black car traveled down the street.
7909,entailment,a red car travels down the street.,the red car traveled down the street.,the red car traveled down the street.
7910,entailment,a red rally jeep parked in the street.,a rally jeep is parked outside on the street.,a rally jeep is parked outside on the street.
7911,neutral,a man wearing a helmet riding a black motorcycle,the motorcycle is the world's fastest,the motorcycle is the world's fastest
7912,contradiction,a man rides a motorcycle in flip-flops.,the man is riding a motorcycle in high heels.,the man is riding a motorcycle in high heels.
7913,neutral,a man in shorts and a black shirt is riding a motorcycle and wearing a red helmet.,a man wearing shorts and a black shirt rides a motorcycle and wears a large red helmet,a man wearing shorts and a black shirt rides a motorcycle and wears a large red helmet
7914,entailment,a man wearing a helmet riding a black motorcycle,a man rides a motorcycle.,a man rides a motorcycle.
7915,neutral,a man in green shorts and red helmet rides a motorcycle.,the motorcycle is rolling down the street.,the motorcycle is rolling down the street.
7916,contradiction,this man is wearing a red helmet and flip-flops and driving a spyder.,a judge sentences a man to prison time.,a judge sentences a man to prison time.
7917,entailment,a man rides a motorcycle in flip-flops.,someone in flip-flops is commandeering a motorcycle.,someone in flip-flops is commandeering a motorcycle.
7918,contradiction,a man in shorts and a black shirt is riding a motorcycle and wearing a red helmet.,a man wearing shorts and a black shirt rides a motorcycle and wears a green helmet,a man wearing shorts and a black shirt rides a motorcycle and wears a green helmet
7919,entailment,a man in shorts and a black shirt is riding a motorcycle and wearing a red helmet.,a man wearing shorts and a black shirt rides a motorcycle and wears a red helmet,a man wearing shorts and a black shirt rides a motorcycle and wears a red helmet
7920,entailment,this man is wearing a red helmet and flip-flops and driving a spyder.,a man driving a car.,a man driving a car.
7921,neutral,a man rides a motorcycle in flip-flops.,the motorcycle rider is not wearing a helmet.,the motorcycle rider isn't wearing a helmet.
7922,neutral,this man is wearing a red helmet and flip-flops and driving a spyder.,a man driving a car to a dealer to have it tuned up.,a man driving a car to a dealer to have it tuned up.
7923,contradiction,a man wearing a helmet riding a black motorcycle,the man is sitting on a recliner.,the man is sitting on a recliner.
7924,entailment,a man in green shorts and red helmet rides a motorcycle.,the man is on his bike.,the man is on his bike.
7925,contradiction,a man in green shorts and red helmet rides a motorcycle.,the man is on a bicycle.,the man is on a bicycle.
7926,contradiction,a policeman walking into a set of double doors as a man in a black shirt exits.,a little girl walking into a set of double doors as a man in a black shirt exits.,a little girl walking into a set of double doors as a man in a black shirt exits.
7927,neutral,a policeman walking into a set of double doors as a man in a black shirt exits.,an old policeman walking into a set of double doors as a man in a black shirt exits.,an old policeman walking into a set of double doors as a man in a black shirt exits.
7928,entailment,"a fairly large woman opens one side of a double swinging door, while a large man goes out the other side of the same door.",a woman opens a door,a woman opens a door
7929,contradiction,"a fairly large woman opens one side of a double swinging door, while a large man goes out the other side of the same door.",the woman closes the door,the woman closes the door
7930,contradiction,celebrating st. patrick's day at 2:10 pm& an police officer is going inside a room.,a police officer is driving his cruiser.,a police officer is driving his cruiser.
7931,neutral,celebrating st. patrick's day at 2:10 pm& an police officer is going inside a room.,a police officer responds to a call for assistance.,a police officer responds to a call for assistance.
7932,entailment,celebrating st. patrick's day at 2:10 pm& an police officer is going inside a room.,on st. patrick's day a police officer is inside.,on st. patrick's day a police officer is inside.
7933,contradiction,"a man and woman in black exiting and entering a kitchen, maybe for a st patrick's day party.","in the holiday spirit, a christmas tree decorated the living room just outside the kitchen.","in the holiday spirit, a christmas tree decorated the living room just outside the kitchen."
7934,entailment,"a man and woman in black exiting and entering a kitchen, maybe for a st patrick's day party.",a man and a woman exit and enter a kitchen.,a man and a woman exit and enter a kitchen.
7935,neutral,"a man and woman in black exiting and entering a kitchen, maybe for a st patrick's day party.",this couple prepared to host their first big party.,this couple prepared to host their first big party.
7936,neutral,"a fairly large woman opens one side of a double swinging door, while a large man goes out the other side of the same door.",the woman is a waitress,the woman is a waitress
7937,contradiction,a woman in black is coming out of a room while a police officer is entering.,there is a man dressed in red.,there's a man dressed in red.
7938,entailment,a woman in black is coming out of a room while a police officer is entering.,there is a woman dressed in black.,there's a woman dressed in black.
7939,neutral,a woman in black is coming out of a room while a police officer is entering.,there is a woman dressed in a black dress.,there's a woman dressed in a black dress.
7940,entailment,a policeman walking into a set of double doors as a man in a black shirt exits.,a person walking into a set of double doors as a man in a black shirt exits.,a person walking into a set of double doors as a man in a black shirt exits.
7941,contradiction,"five people, sledding outside on a snow covered road with tree's also covered in snow to the side of them.",a group of friends are riding bicycles in a blizzard.,a group of friends are riding bicycles in a blizzard.
7942,neutral,five men in heavy winter attire sledding down a snowy hill.,the five men who are sledding are friends.,the one men who are sledding are friends.
7943,contradiction,five men in heavy winter attire sledding down a snowy hill.,five men are trying to sled on a grassy knoll.,two men are trying to sled on a grassy knoll.
7944,entailment,5 adults are riding wooden sleds down a snowy hill.,adults are sledding.,adults are sledding.
7945,neutral,5 adults are riding wooden sleds down a snowy hill.,a group of men and women sled down a hill.,a group of men and women sled down a hill.
7946,contradiction,5 adults are riding wooden sleds down a snowy hill.,a group of people snowboard down a hill.,a group of people snowboard down a hill.
7947,contradiction,several people are riding sleds down a snowy hill.,the people are going up the mountain on a ski lift.,the people are going up the mountain on a ski lift.
7948,neutral,several people are riding sleds down a snowy hill.,the children are climbing back up the hill to ride the sled again.,the children are climbing back up the hill to ride the sled again.
7949,entailment,several people are riding sleds down a snowy hill.,people are outdoors.,people are outdoors.
7950,contradiction,five men are sledding down a snowy slope on separate sleds.,eight brothers eating thanksgiving dinner.,seven brothers eating thanksgiving dinner.
7951,neutral,five men are sledding down a snowy slope on separate sleds.,five co-workers sledding.,four co-workers sledding.
7952,entailment,five men are sledding down a snowy slope on separate sleds.,men outside.,men outside.
7953,entailment,"five people, sledding outside on a snow covered road with tree's also covered in snow to the side of them.",a group of five people are sledding down a tree lined road covered in snow.,a group of ten people are sledding down a tree lined road covered in snow.
7954,neutral,"five people, sledding outside on a snow covered road with tree's also covered in snow to the side of them.",a group of people are sledding down a snow covered street on their day off.,a group of people are sledding down a snow covered street on their day off.
7955,entailment,five men in heavy winter attire sledding down a snowy hill.,five men in winter clothing are by a hill.,eight men in winter clothing are by a hill.
7956,entailment,a child is looking out of a door.,there is a door.,there's a door.
7957,contradiction,a child with blond-hair looking out of a screen door.,a child is being held by his mother at the mall.,a child is being held by his mother at the mall.
7958,contradiction,"a young, blond child looks out of a glass door.","a young, redhead child looks out of a door peephole.","a young, redhead child looks out of a door peephole."
7959,neutral,"a young, blond child looks out of a glass door.","a young, blond child looks out of a glass door at someone.","a young, blond child looks out of a glass door at someone."
7960,entailment,"a young, blond child looks out of a glass door.",a young child looks out of a door.,a young child looks out of a door.
7961,entailment,a blond kid with no shirt stares out a glass door.,a kid stares out the door.,a kid stares out the door.
7962,contradiction,a blond kid with no shirt stares out a glass door.,the kids shirt is made out of leather.,the kids shirt is made out of leather.
7963,neutral,a blond kid with no shirt stares out a glass door.,a kid waiting at the door for his dad to return from his trip to get smokes 3 years ago.,a kid waiting at the door for his dad to return from his trip to get smokes 5 years ago.
7964,neutral,a shirtless toddler staring out the window.,a small child watches two dogs playing in the yard.,a small child watches two dogs playing in the yard.
7965,contradiction,a shirtless toddler staring out the window.,a little toddler is walking with his mother towards the park.,a little toddler is walking with his mother towards the park.
7966,entailment,a shirtless toddler staring out the window.,a small child watches the outside world through a window.,a small child watches the outside world through a window.
7967,contradiction,a child is looking out of a door.,the child is asleep.,the child is asleep.
7968,neutral,a child with blond-hair looking out of a screen door.,a blond haired kid looks through his front door at the mailman.,a blond haired kid looks through his front door at the mailman.
7969,neutral,a child is looking out of a door.,the door is open.,the door is open.
7970,contradiction,a child with blond-hair looking out of a screen door.,a kid looks out of a window.,a kid looks out of a window.
7971,entailment,a black belt practices her martial arts barefoot.,the female is practicing while wearing no shoes.,the female is practicing while wearing no shoes.
7972,contradiction,dark-skinned female dressed in white and black martial arts uniform strikes a lunge pose.,a woman is sitting on the floor.,a woman is sitting on the floor.
7973,neutral,dark-skinned female dressed in white and black martial arts uniform strikes a lunge pose.,a female is performing martial arts.,a female is performing martial arts.
7974,entailment,dark-skinned female dressed in white and black martial arts uniform strikes a lunge pose.,a dark-skinned female is in a martial arts pose.,a dark-skinned female is in a martial arts pose.
7975,entailment,demonstration of martial arts by young female in gymnasium.,the female is young,the female is young
7976,neutral,demonstration of martial arts by young female in gymnasium.,the female is performing in front of a small group of children,the female is performing in front of a small group of children
7977,contradiction,demonstration of martial arts by young female in gymnasium.,"tthe female has no head, arms or legs.","tthe female has no head, arms or legs."
7978,neutral,a black belt practices her martial arts barefoot.,the barefoot black belt is practicing her martial arts with others.,the barefoot black belt is practicing her martial arts with others.
7979,contradiction,a woman with a black belt is doing some form of martial arts.,a man climbs a tree.,a man climbs a tree.
7980,neutral,a woman with a black belt is doing some form of martial arts.,ronda rousey defeats her opponent.,ronda Koch defeats her opponent.
7981,entailment,a woman with a black belt is doing some form of martial arts.,a woman does martial arts.,a woman does martial arts.
7982,neutral,young women practicing marshal arts in a gym.,a group of women doing tai chi at the gym.,a group of women doing tai chi at the gym.
7983,entailment,young women practicing marshal arts in a gym.,women working out at a gym.,women working out at a gym.
7984,contradiction,young women practicing marshal arts in a gym.,some women sitting and chatting over lattes.,some women sitting and chatting over lattes.
7985,contradiction,a black belt practices her martial arts barefoot.,a girl is putting on shoes to practice her martial arts.,a girl is putting on shoes to practice her martial arts.
7986,entailment,a man wearing a white shirt and he is having fun,a man is having fun in a white shirt.,a man is having fun in a white shirt.
7987,entailment,"a young man at a party shouts out, his fists raised with emotion.",a man can shout,a man can shout
7988,contradiction,"a young man at a party shouts out, his fists raised with emotion.",a man is taking a photo of a shark while deep sea diving,a man is taking a photo of a shark while deep sea diving
7989,contradiction,a man in a white shirt yells and throws up his fists as he is being carried by a group of people at a gathering.,the man is smiling.,the man is smiling.
7990,neutral,"a young man at a party shouts out, his fists raised with emotion.",a man is excited that is is winning the scrabble game,a man is excited that's is winning the scrabble game
7991,entailment,a man in a white shirt yells and throws up his fists as he is being carried by a group of people at a gathering.,the man is wearing white.,the man is wearing white.
7992,neutral,a man in a white shirt yells and throws up his fists as he is being carried by a group of people at a gathering.,the man looks angry.,the man looks angry.
7993,contradiction,a man in a white shirt with a mustache is crowd surfing.,a man is having his shoes shined.,a man is having his shoes shined.
7994,entailment,a man in a white shirt with a mustache is crowd surfing.,a man is with other people.,a man is with other people.
7995,neutral,a man in a white shirt with a mustache is crowd surfing.,a man is wearing a white shirt with the band's name on it as he crowd surfs.,a man is wearing a white shirt with the band's name on it as he crowd surfs.
7996,neutral,a man in a white t-shirt is cheering.,the man is cheering for the winning team.,the man is cheering for the winning team.
7997,entailment,a man in a white t-shirt is cheering.,the man is happy.,the man is happy.
7998,contradiction,a man in a white t-shirt is cheering.,the man is upset at the game.,the man is upset at the game.
7999,contradiction,a man wearing a white shirt and he is having fun,a man is wearing a blue shirt.,a man is wearing a blue shirt.
8000,neutral,a man wearing a white shirt and he is having fun,a man is having fun by himself.,a man is having fun by himself.
8001,contradiction,a man in a green sweater talks on the phone and holds a baby girl on his lap.,a man puts a baby girl down for a nap.,a man puts a baby girl down for a nap.
8002,neutral,"a man in a green jacket is sitting, talking on a cellphone holding a baby wearing pink.",the baby belongs to the man.,the baby belongs to the man.
8003,contradiction,a man wearing a green jacket is talking on the phone while holding a baby wearing a pink jacket.,the jacket is blue.,the jacket is blue.
8004,neutral,a man in a green sweater talks on the phone and holds a baby girl on his lap.,a man hold his daughter on his lap while talking to his wife on the phone.,a man hold his daughter on his lap while talking to his wife on the phone.
8005,entailment,an older man holding a young child is talking on a cellphone while sitting on a concrete barrier.,they are sitting.,they're sitting.
8006,entailment,a man wearing a green jacket is talking on the phone while holding a baby wearing a pink jacket.,the jacket is green.,the jacket is green.
8007,entailment,an older man holds a toddler girl on his lap while talking on his cellphone.,a man with a baby with a phone in other hand.,a man with a baby with a phone in other hand.
8008,contradiction,an older man holds a toddler girl on his lap while talking on his cellphone.,a manwith a woman on her lap,a manwith a woman on her lap
8009,contradiction,"a man in a green jacket is sitting, talking on a cellphone holding a baby wearing pink.",the baby is holding the man.,the baby is holding the man.
8010,entailment,a man in a green sweater talks on the phone and holds a baby girl on his lap.,a person on the phone holding a child.,a person on the phone holding a child.
8011,neutral,an older man holds a toddler girl on his lap while talking on his cellphone.,a man playing with a baby while talking on the phone.,a man playing with a baby while talking on the phone.
8012,neutral,an older man holding a young child is talking on a cellphone while sitting on a concrete barrier.,the older man and child are related,the older man and child are related
8013,contradiction,an older man holding a young child is talking on a cellphone while sitting on a concrete barrier.,the are running,the are running
8014,neutral,a man wearing a green jacket is talking on the phone while holding a baby wearing a pink jacket.,the baby is his nephew.,the baby is his nephew.
8015,entailment,"a man in a green jacket is sitting, talking on a cellphone holding a baby wearing pink.",the man is holding a baby.,the man is holding a baby.
8016,contradiction,"a man on a skateboard waits at the corner of a city street, with an overpass in the background.",dog chases two cats,dog chases two cats
8017,neutral,a young man rides a skateboard down a town road with a yellow railing behind him.,a man is practicing his tricks on the road.,a man is practicing his tricks on the road.
8018,contradiction,a young man rides a skateboard down a town road with a yellow railing behind him.,a woman is sleeping.,a woman is sleeping.
8019,entailment,a young man rides a skateboard down a town road with a yellow railing behind him.,a man is skateboarding.,a man is skateboarding.
8020,entailment,a skateboarder in a black t-shirt and jeans skating threw the city.,a person rides on a skateboard.,a person rides on a skateboard.
8021,neutral,a skateboarder in a black t-shirt and jeans skating threw the city.,a skateboarder is performing tricks.,a skateboarder is performing tricks.
8022,contradiction,a skateboarder in a black t-shirt and jeans skating threw the city.,a man is riding a bicycle.,a man is riding a bicycle.
8023,neutral,a young man in a black t-shirt and jeans rides a skateboard on the side of the street.,a man is zooming past a bench on a skateboard.,a man is zooming past a bench on a skateboard.
8024,contradiction,a young man in a black t-shirt and jeans rides a skateboard on the side of the street.,a man is cooking dinner.,a man is cooking dinner.
8025,neutral,a young man is skateboarding down the side of a road.,skateboarder is going to meet his friend,skateboarder is going to meet his friend
8026,entailment,a young man is skateboarding down the side of a road.,skateboarder is outside,skateboarder is outside
8027,contradiction,a young man is skateboarding down the side of a road.,skateboarder feel,skateboarder feel
8028,entailment,a young man in a black t-shirt and jeans rides a skateboard on the side of the street.,a casually dressed man rides a skateboard.,a casually dressed man rides a skateboard.
8029,neutral,"a man on a skateboard waits at the corner of a city street, with an overpass in the background.",man going to skatepark,man going to skatepark
